filename	num_contigs	contig_n50	contig_n50_size_mb	num_scaffolds	scaffold_n50	scaffold_n50_size_mb	largest_scaffold	largest_scaffold_size_mb	total_scaffold_length	total_scaffold_length_size_mb	gc_content_percent
OG37_v240116.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	921	8055182	8.05518	921	8055182	8.05518	25184283	25.1843	610718349	610.718	43.45
OG37_v240116.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	179	23975222	23.9752	179	23975222	23.9752	30823570	30.8236	604239305	604.239	43.45
OG38_v230609.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	41.40
OG39_v241018.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	2512	762313	0.762313	2512	762313	0.762313	4661567	4.66157	517009885	517.01	45.83
OG39_v241018.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	366	7342039	7.34204	366	7342039	7.34204	38741226	38.7412	551398352	551.398	45.79
OG40_v241004.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	1567	2626987	2.62699	1567	2626987	2.62699	14228714	14.2287	677632956	677.633	42.23
OG40_v241004.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	206	28220179	28.2202	206	28220179	28.2202	34063360	34.0634	674917966	674.918	42.24
OG42_v240215.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2538	2949732	2.94973	2538	2949732	2.94973	12630116	12.6301	865541328	865.541	40.73
OG42_v240215.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	678	18137627	18.1376	678	18137627	18.1376	41276178	41.2762	867895310	867.895	40.76
OG46_v240215.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	771	16657179	16.6572	771	16657179	16.6572	30351399	30.3514	744510946	744.511	41.45
OG46_v240215.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	101	31553208	31.5532	101	31553208	31.5532	37678572	37.6786	740767836	740.768	41.45
OG47_v231115.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1327	5363165	5.36317	1327	5363165	5.36317	16393610	16.3936	699201187	699.201	41.44
OG47_v231115.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	111	28814240	28.8142	111	28814240	28.8142	56252434	56.2524	679800608	679.801	41.42
OG52_v230825.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	943	4190125	4.19013	943	4190125	4.19013	13915181	13.9152	615101639	615.102	42.77
OG52_v230825.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	154	23217728	23.2177	154	23217728	23.2177	29934604	29.9346	611629003	611.629	42.77
OG53_v230915.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	864	10552771	10.5528	864	10552771	10.5528	25532288	25.5323	734574126	734.574	43.33
OG53_v230915.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	157	30311563	30.3116	157	30311563	30.3116	36780980	36.781	746342534	746.343	43.35
OG54_v241004.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	2297	1973094	1.97309	2297	1973094	1.97309	8830201	8.8302	855935991	855.936	40.90
OG54_v241004.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	642	12224852	12.2249	642	12224852	12.2249	40420823	40.4208	881096242	881.096	40.85
OG55_v231115.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1034	7915905	7.91591	1034	7915905	7.91591	24604301	24.6043	697864164	697.864	40.78
OG55_v231115.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	654	24761363	24.7614	654	24761363	24.7614	33226952	33.227	709042722	709.043	40.46
OG56_v240116.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	26161	90167	0.090167	26161	90167	0.090167	685391	0.685391	1422355237	1422.36	39.64
OG56_v240116.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	10240	508319	0.508319	10240	508319	0.508319	3170567	3.17057	2274620156	2274.62	39.70
OG57_v231027.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2151	2601206	2.60121	2151	2601206	2.60121	9217713	9.21771	617025840	617.026	40.77
OG57_v231027.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	192	20154885	20.1549	192	20154885	20.1549	30046415	30.0464	606294863	606.295	40.72
OG58_v250704.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	8764	206835	0.206835	8764	206835	0.206835	2938911	2.93891	597944006	597.944	44.44
OG58_v250704.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	1783	4181583	4.18158	1783	4181583	4.18158	15683161	15.6832	639387546	639.388	44.82
OG60_v241127.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	1348	4939963	4.93996	1348	4939963	4.93996	15881388	15.8814	785957581	785.958	41.58
OG60_v241127.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	380	21966453	21.9665	380	21966453	21.9665	46064027	46.064	809032256	809.032	41.67
OG62_v250307.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	11141	92731	0.092731	11141	92731	0.092731	705024	0.705024	550343830	550.344	43.99
OG62_v250307.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	2628	768248	0.768248	2628	768248	0.768248	5842625	5.84262	652186341	652.186	44.05
OG64_v250307.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	3484	1232660	1.23266	3484	1232660	1.23266	7918206	7.91821	497181936	497.182	40.22
OG64_v250307.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	894	11847102	11.8471	894	11847102	11.8471	23712278	23.7123	485669108	485.669	40.30
OG65_v250704.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	2319	1192447	1.19245	2319	1192447	1.19245	5500348	5.50035	608678685	608.679	39.35
OG65_v250704.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	155	25960795	25.9608	155	25960795	25.9608	49178278	49.1783	618901429	618.901	39.39
OG67_v241127.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	4180	684824	0.684824	4180	684824	0.684824	4055234	4.05523	638194828	638.195	38.68
OG67_v241127.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	1046	8732412	8.73241	1046	8732412	8.73241	27325460	27.3255	707004065	707.004	38.49
OG70_v250307.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	4221	1007338	1.00734	4221	1007338	1.00734	8861327	8.86133	823668603	823.669	37.61
OG70_v250307.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	870	9605595	9.60559	870	9605595	9.60559	29038725	29.0387	943092407	943.092	37.68
OG72_v241023.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	3200	1453235	1.45324	3200	1453235	1.45324	6788737	6.78874	531925040	531.925	45.14
OG72_v241023.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	391	9972423	9.97242	391	9972423	9.97242	23883143	23.8831	529306544	529.307	45.26
OG79_v240427.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	12495	78311	0.078311	12495	78311	0.078311	2420763	2.42076	500571937	500.572	48.81
OG79_v240427.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	5014	521757	0.521757	5014	521757	0.521757	8510834	8.51083	727909672	727.91	48.97
OG81_v250704.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	5201	774388	0.774388	5201	774388	0.774388	9456859	9.45686	595590269	595.59	39.19
OG81_v250704.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	1404	4718586	4.71859	1404	4718586	4.71859	21254078	21.2541	808361324	808.361	39.48
OG85_v240927.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	1691	1926523	1.92652	1691	1926523	1.92652	9220356	9.22036	710731447	710.731	40.28
OG85_v240927.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	180	26799791	26.7998	180	26799791	26.7998	58075750	58.0757	696480118	696.48	40.36
OG90_v240821.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1260	4839017	4.83902	1260	4839017	4.83902	14771164	14.7712	661128019	661.128	42.20
OG90_v240821.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	318	25888325	25.8883	318	25888325	25.8883	50376601	50.3766	672043240	672.043	42.32
OG90_bc2008_v240821.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	8328	214340	0.21434	8328	214340	0.21434	1429652	1.42965	646822778	646.823	41.97
OG90_bc2008_v240821.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	2166	1594923	1.59492	2166	1594923	1.59492	9190835	9.19083	691865268	691.865	42.20
OG95_v230525.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	39.73
OG95_v230525.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	39.71
OG99_v240215.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1404	5393472	5.39347	1404	5393472	5.39347	18012767	18.0128	709319119	709.319	42.00
OG99_v240215.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	110	28141650	28.1416	110	28141650	28.1416	36346702	36.3467	703791777	703.792	42.16
OG100_v240116.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2061	4113072	4.11307	2061	4113072	4.11307	15644386	15.6444	541732478	541.732	43.02
OG100_v240116.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	1923	22228780	22.2288	1923	22228780	22.2288	43490430	43.4904	577629030	577.629	42.27
OG104_v250113.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	30408	26557	0.026557	30408	26557	0.026557	2992375	2.99238	898237234	898.237	44.99
OG104_v250113.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	535	9329043	9.32904	535	9329043	9.32904	34010179	34.0102	667819544	667.82	45.68
OG105_v231027.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	3232	1854386	1.85439	3232	1854386	1.85439	10018755	10.0188	799669773	799.67	42.47
OG105_v231027.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	748	17935352	17.9354	748	17935352	17.9354	32769684	32.7697	783808368	783.808	42.47
OG106_v240927.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	2924	625569	0.625569	2924	625569	0.625569	6693965	6.69397	535414599	535.415	46.03
OG106_v240927.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	766	4923088	4.92309	766	4923088	4.92309	18791028	18.791	591813318	591.813	45.58
OG108_v231027.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2961	1092990	1.09299	2961	1092990	1.09299	6192125	6.19212	795383211	795.383	41.20
OG108_v231027.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	281	26494237	26.4942	281	26494237	26.4942	33881441	33.8814	789602125	789.602	41.25
OG111_v241018.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	3898	4688116	4.68812	3898	4688116	4.68812	23725870	23.7259	770919243	770.919	43.50
OG111_v241018.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	522	22034057	22.0341	522	22034057	22.0341	29872762	29.8728	749780531	749.781	43.47
OG113_v231027.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2685	3498753	3.49875	2685	3498753	3.49875	15521043	15.521	852736451	852.736	41.85
OG113_v231027.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	262	30174535	30.1745	262	30174535	30.1745	47836977	47.837	879919792	879.92	41.83
OG114_v240116.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1577	3622581	3.62258	1577	3622581	3.62258	14640136	14.6401	853540348	853.54	41.31
OG114_v240116.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	139	35301765	35.3018	139	35301765	35.3018	40393499	40.3935	842736570	842.737	41.30
OG115_v240125.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1747	6045233	6.04523	1747	6045233	6.04523	24535998	24.536	608411127	608.411	41.99
OG115_v240125.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	185	23612383	23.6124	185	23612383	23.6124	39089718	39.0897	590307669	590.308	41.98
OG637_v240206.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	12944	888520	0.88852	12944	888520	0.88852	6920356	6.92036	3535727841	3535.73	43.74
OG637_v240206.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	2405	5942117	5.94212	2405	5942117	5.94212	49248674	49.2487	3742750213	3742.75	44.17
OG645_v240417.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	848	11729400	11.7294	848	11729400	11.7294	27883258	27.8833	810995822	810.996	39.77
OG645_v240417.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	134	32713242	32.7132	134	32713242	32.7132	41892458	41.8925	806856187	806.856	39.82
OG646_v240821.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	5676	484544	0.484544	5676	484544	0.484544	4851928	4.85193	1130143544	1130.14	39.76
OG646_v240821.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	200	31534305	31.5343	200	31534305	31.5343	55722113	55.7221	1152795599	1152.8	39.76
OG647_v230915.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1108	11629238	11.6292	1108	11629238	11.6292	35385260	35.3853	1335269007	1335.27	39.65
OG647_v230915.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	121	54610055	54.6101	121	54610055	54.6101	64084917	64.0849	1342843030	1342.84	39.67
OG648_v250704.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	1543	2962543	2.96254	1543	2962543	2.96254	10289615	10.2896	964729560	964.73	39.37
OG648_v250704.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	187	36082739	36.0827	187	36082739	36.0827	46724362	46.7244	963838136	963.838	39.37
OG649_v240417.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1689	2343696	2.3437	1689	2343696	2.3437	11447660	11.4477	634175167	634.175	43.42
OG649_v240417.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	519	11544534	11.5445	519	11544534	11.5445	24017990	24.018	636428253	636.428	43.57
OG650_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	907	15770463	15.7705	907	15770463	15.7705	63260142	63.2601	1326508250	1326.51	39.45
OG651_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	4213	2233061	2.23306	4213	2233061	2.23306	20488620	20.4886	1243142294	1243.14	39.62
OG651_v240327.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	384	47169105	47.1691	384	47169105	47.1691	57902229	57.9022	1222776913	1222.78	39.66
OG652_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	907	9959538	9.95954	907	9959538	9.95954	30540886	30.5409	817385487	817.385	39.94
OG652_v240327.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	215	32421822	32.4218	215	32421822	32.4218	43138716	43.1387	812959794	812.96	40.01
OG654_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	8234	978949	0.978949	8234	978949	0.978949	9162477	9.16248	1010707655	1010.71	40.00
OG654_v240327.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	426	11056365	11.0564	426	11056365	11.0564	37511706	37.5117	923312815	923.313	39.92
OG657_v230915.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1944	4412411	4.41241	1944	4412411	4.41241	20972100	20.9721	1172541673	1172.54	39.72
OG658_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	3269	1520424	1.52042	3269	1520424	1.52042	7806993	7.80699	1033575210	1033.58	40.32
OG658_v240327.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	343	34871074	34.8711	343	34871074	34.8711	47297987	47.298	1042278493	1042.28	40.31
OG659_v240427.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	8596	528936	0.528936	8596	528936	0.528936	3747082	3.74708	932183566	932.184	43.60
OG659_v240427.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	1086	5386037	5.38604	1086	5386037	5.38604	22469508	22.4695	890781290	890.781	43.80
OG660_v240228.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	6107	663381	0.663381	6107	663381	0.663381	5198646	5.19865	744826936	744.827	43.01
OG660_v240228.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	734	14438596	14.4386	734	14438596	14.4386	31299629	31.2996	729231755	729.232	43.04
OG662_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	5400	1277566	1.27757	5400	1277566	1.27757	9748086	9.74809	707257517	707.258	43.28
OG662_v240327.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	163	27564036	27.564	163	27564036	27.564	72654685	72.6547	625466304	625.466	43.48
OG664_v241018.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	2006	3260343	3.26034	2006	3260343	3.26034	15119434	15.1194	981998443	981.998	40.82
OG665_v240501.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	510	16474538	16.4745	510	16474538	16.4745	28581186	28.5812	642544957	642.545	42.33
OG665_v240501.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	106	27425959	27.426	106	27425959	27.426	34058456	34.0585	636575150	636.575	42.36
OG666_v241004.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	949	11421636	11.4216	949	11421636	11.4216	39924060	39.9241	1078825937	1078.83	41.15
OG666_v241004.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	123	45186996	45.187	123	45186996	45.187	52917620	52.9176	1086211980	1086.21	41.20
OG672_v240215.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1722	23002764	23.0028	1722	23002764	23.0028	44834845	44.8348	1067489277	1067.49	40.64
OG672_v240215.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	180	43088807	43.0888	180	43088807	43.0888	63580671	63.5807	1053880028	1053.88	40.68
OG673_v240417.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2750	2296408	2.29641	2750	2296408	2.29641	12067122	12.0671	846367299	846.367	39.53
OG673_v240417.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	262	33606243	33.6062	262	33606243	33.6062	40678746	40.6787	814502741	814.503	39.57
OG676_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	769	11647275	11.6473	769	11647275	11.6473	26574614	26.5746	674229687	674.23	39.97
OG676_v240327.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	132	27423612	27.4236	132	27423612	27.4236	60621484	60.6215	671395992	671.396	40.01
OG678_v240327.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	4696	2337952	2.33795	4696	2337952	2.33795	12630588	12.6306	816671128	816.671	39.95
OG678_v240327.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	162	30048205	30.0482	162	30048205	30.0482	37876609	37.8766	740053527	740.054	40.08
OG679_v250307.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	1088	3143227	3.14323	1088	3143227	3.14323	10702109	10.7021	674930400	674.93	40.07
OG679_v250307.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	137	26337453	26.3375	137	26337453	26.3375	31664705	31.6647	665083064	665.083	40.12
OG680_v241004.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	2838	1204541	1.20454	2838	1204541	1.20454	13499828	13.4998	539715849	539.716	45.40
OG680_v241004.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	114	20533686	20.5337	114	20533686	20.5337	40279353	40.2794	512576066	512.576	45.25
OG681_v250307.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	722	7102117	7.10212	722	7102117	7.10212	20868344	20.8683	753188832	753.189	40.73
OG681_v250307.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	64	33007552	33.0076	64	33007552	33.0076	39455444	39.4554	780379183	780.379	40.70
OG683_v240821.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1406	3745299	3.7453	1406	3745299	3.7453	16457508	16.4575	1153945167	1153.95	39.75
OG683_v240821.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	130	45977905	45.9779	130	45977905	45.9779	56716897	56.7169	1157630641	1157.63	39.74
OG686_v241004.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	1758	1906647	1.90665	1758	1906647	1.90665	10871307	10.8713	642484345	642.484	42.87
OG686_v241004.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	793	25234909	25.2349	793	25234909	25.2349	31576444	31.5764	672741960	672.742	43.30
OG695_v240520.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	8937	1166509	1.16651	8937	1166509	1.16651	17526453	17.5265	1112462054	1112.46	40.46
OG695_v240520.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	440	24333501	24.3335	440	24333501	24.3335	37298656	37.2987	953721022	953.721	40.71
OG696_v240228.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1159	7855574	7.85557	1159	7855574	7.85557	25390976	25.391	1450033150	1450.03	39.75
OG696_v240228.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	108	60702558	60.7026	108	60702558	60.7026	72607140	72.6071	1457894689	1457.89	39.71
OG698_v241004.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	4197	1002924	1.00292	4197	1002924	1.00292	5967623	5.96762	1049551195	1049.55	41.40
OG698_v241004.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	134	40546526	40.5465	134	40546526	40.5465	53101967	53.102	1091286078	1091.29	41.38
OG699_v250317.hifi1.0.hifiasm.a_ctg.assembly_summary.txt	2345	3896664	3.89666	2345	3896664	3.89666	18784075	18.7841	1235442281	1235.44	39.61
OG699_v250317.hifi1.0.hifiasm.p_ctg.assembly_summary.txt	149	46078942	46.0789	149	46078942	46.0789	58416398	58.4164	1242893031	1242.89	39.62
OG701_v240427.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2617	4855773	4.85577	2617	4855773	4.85577	19834025	19.834	1046318461	1046.32	40.05
OG701_v240427.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	424	42808099	42.8081	424	42808099	42.8081	53172192	53.1722	1061990585	1061.99	39.85
OG702_v240501.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2724	10012190	10.0122	2724	10012190	10.0122	34586881	34.5869	1171695628	1171.7	40.18
OG702_v240501.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	726	48018631	48.0186	726	48018631	48.0186	60623595	60.6236	1178267691	1178.27	40.24
OG704_v240417.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1797	5654963	5.65496	1797	5654963	5.65496	21010934	21.0109	644847712	644.848	42.92
OG704_v240417.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	285	17818886	17.8189	285	17818886	17.8189	27427848	27.4278	621824502	621.825	42.98
OG706_v240206.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	40124	567994	0.567994	40124	567994	0.567994	7212840	7.21284	5288864180	5288.86	48.36
OG706_v240206.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	10225	2050249	2.05025	10225	2050249	2.05025	14817249	14.8172	5761406030	5761.41	48.64
OG709_v230915.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1257	5842869	5.84287	1257	5842869	5.84287	17697682	17.6977	574159731	574.16	40.31
OG709_v230915.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	238	22406803	22.4068	238	22406803	22.4068	29071562	29.0716	583719170	583.719	40.55
